Variable,Description,,,,,,,,,,,,,,,,,,,,
species,Species of the coffee (Arabica or Robusta).,,,,,,,,,,,,,,,,,,,,
country,Country of origin.,,,,,,,,,,,,,,,,,,,,
aroma,Refers to the scent or fragrance of the coffee.,,,,,,,,,,,,,,,,,,,,
flavor,"The flavor of coffee is evaluated based on the taste, including any sweetness, bitterness, acidity, and other flavor notes.",,,,,,,,,,,,,,,,,,,,
aftertaste,Refers to the lingering taste that remains in the mouth after swallowing the coffee.,,,,,,,,,,,,,,,,,,,,
acidity,Acidity in coffee refers to the brightness or liveliness of the taste.,,,,,,,,,,,,,,,,,,,,
sweetness,"It can be described as caramel-like, fruity, or floral, and is a desirable quality in coffee.",,,,,,,,,,,,,,,,,,,,
body,The body of coffee refers to the thickness or viscosity of the coffee in the mouth.,,,,,,,,,,,,,,,,,,,,
uniformity,Uniformity refers to the consistency of the coffee from cup to cup.,,,,,,,,,,,,,,,,,,,,
clean,"A clean cup refers to a coffee that is free of any off-flavors or defects, such as sourness, mustiness, or staleness.",,,,,,,,,,,,,,,,,,,,
balance,Balance refers to how well the different flavor components of the coffee work together.,,,,,,,,,,,,,,,,,,,,
overall,"Total cupper points, or overall score out of 10.",,,,,,,,,,,,,,,,,,,,
total,"Total score out of 100, sum of aesthetic variables.",,,,,,,,,,,,,,,,,,,,
moisture,"Moisture level of the coffee, as a proportion.",,,,,,,,,,,,,,,,,,,,
total_weight,"Total weight of the coffee produced, calculated as the number of bags times the weight of each bag.",,,,,,,,,,,,,,,,,,,,
mean_altitude,Mean altitude where the coffee is grown.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
