Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
arabica,Thailand,Pichet Klaphithak,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"18,Ngop, Thung Chang ,Nan, 55130",1403,"Ngop, Thung Chang, Nan",Pichet Klaphithak,3,20 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Pichet Klaphithak,Gesha,Completed,Natural / Dry,8.5,8.42,8.5,8.33,8.17,8.33,10,10,10,8.5,0,88.75,10%,0 full defects,0,Green-Yellow,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Ching Saethao,TCE,Big Black Box Dry Mill Plant,,"145,Ngop, Thung Chang ,Nan, 55130",1350,Nan,Ching Saethao,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Ching Saethso,Gesha,Completed,Pulped natural / honey,8.58,8.5,8.33,8.42,8.17,8.25,10,10,10,8.5,0,88.75,9.30%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Brazil,Fazenda Guariroba,RR24009,Fazenda Guariroba,,ROLLING ROASTERS,1100,Minas Gerais,Homero Aguiar Paiva,3,10 kg,Coffee Quality Union,2023,"May 6th, 2024",ROLLING ROASTERS,Gesha,Completed,Natural Fermentation / Sundried,8.5,8.5,8.25,8.42,8.25,8.17,10,10,10,8.42,0,88.5,10.80%,0 full defects,1,Yellow green,2 full defects,,"May 6th, 2025",Coffee Quality Union,3-24-9 Saiwai Otaru Hokkaido,Sakiko Kabeyama -
arabica,Thailand,Coffee De Hmong Bio Farm,2024,Coffee De Hmong Roaster,,Coffee De Hmong Bio Farm,1443,เอเชีย,Wichai kamnerdmongkon,1,10 kg,Specialty Coffee Institute of Thailand,2019 / 2020,"October 29th, 2024",Wichai Kamnerdmongkhon,Gesha,Completed,Washed / Wet,8.67,8.5,8.33,8,8.08,8.33,10,10,10,8.42,0,88.33,11.20%,0 full defects,0,,0 full defects,,"October 29th, 2025",Specialty Coffee Institute of Thailand,"No.76-82 Satri Wittaya 2 Soi 6, Ladplao, Bangkok 10230 Thailand","Rinlapat Siwachairot - +66 2 118 0811, +66 926462492"
arabica,Thailand,Wichai Kamnerdmongkon,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,Coffee De Hmong Bio Farm,1445,"Ngop, Thung Chang, Nan",Wichai Kamnerdmongkon,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Wichai Kamnerdmongkhon,Gesha,Completed,Washed / Wet,8.42,8.58,8.33,8.17,8.08,8.17,10,10,10,8.5,0,88.25,9.90%,0 full defects,0,,1 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Napaporn Kamnoedmongkhon,TCE,Big Black Box Dry Mill Plant,,"265,Ngop, Thung Chang ,Nan, 55130",1445,"Thung Chang,Nan",Napaporn Kamnoedmongkhon,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Napaporn Kamnoedmongkhon,Gesha,Completed,Pulped natural / honey,8.33,8.42,8.33,8.25,8.08,8.25,10,10,10,8.42,0,88.08,10.20%,0 full defects,0,,0 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Thailand,Doi Tung Development Project,Gesha 23/24 (Coffea Arabica),Dry Mill,,Doi Tung Development Project,1200-1580,North of Thailand,Doi Tung Development Project,2,1 kg,FABB Academy of Coffee,2023 / 2024,"June 26th, 2024",Doi Tung Development Project,Gesha,Completed,Washed / Wet,8.67,8.33,8.17,8.17,8.17,8.25,10,10,10,8.33,0,88.08,10.80%,0 full defects,0,Green,1 full defects,,"June 26th, 2025",FABB Academy of Coffee,"FABB ACADEMY OF COFFEE 259/313 SUKHUMVIT 71 RD., SOI PRIDI BANOMYONG 15, VHADANA BKK, 10110 THAILAND",Janejira Kamonsawedkun - +(66) 095 095 9593
arabica,Ethiopia,KONGA,NATURAL YIRGACHEFFE KONGA G1,TRACON PROCESSING MILL,0230A,kebir coffee,1900,YIRGACHEFFE KONGA,KEBIR COFFEE,12,60 kg,METAD Agricultural Development plc,2023 / 2024,"June 24th, 2024",kebir coffee,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.17,8.33,8.17,8.42,8.17,8.33,10,10,10,8.42,0,88,10%,0 full defects,7,Yellow Green,11 full defects,,"June 24th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
arabica,Thailand,Wicha Saenrungarun,TCE,Big Black Box Dry Mill Plant,,"145,Ngop, Thung Chang ,Nan, 55130",1550,"Thung Chang, Nan",Wicha Saenrungarun,2,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Wicha Saenrungarun,Gesha,Completed,Pulped natural / honey,8.58,8.25,8.25,8.17,8.17,8.17,10,10,10,8.33,0,87.92,10.10%,0 full defects,0,yellow green,4 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
arabica,Ethiopia,ARICHA,NATURAL YIRGACHEFFE ARICHA G1,TRACON PROCESSING MILL,0231A,kebir coffee,1900,YIRGACHEFFE ARICHA,KEBIR COFFEE,6,60 kg,METAD Agricultural Development plc,2023 / 2024,"June 24th, 2024",kebir coffee,Ethiopian Yirgacheffe,Completed,Natural / Dry,8.08,8.42,8.17,8.42,8.33,8.25,10,10,10,8.25,0,87.92,9.90%,0 full defects,4,Yellow Green,9 full defects,,"June 24th, 2025",METAD Agricultural Development plc,"BAWA Center, 3rd Floor (Gerji), Addis Ababa, Ethiopia","Aman Adinew (Emebet Dinku) - +251-116-292534, +251-911-519196"
