Species,Country of Origin,Farm Name,Lot Number,Mill,ICO Number,Company,Altitude,Region,Producer,Number of Bags,Bag Weight,In-Country Partner,Harvest Year,Grading Date,Owner,Variety,Status,Processing Method,Fragrance / Aroma,Flavor,Aftertaste,Salt / Acid,Bitter / Sweet,Mouthfeel,Uniform Cup,Clean Cup,Balance,Overall,Defects,Total Cup Points,Moisture,Category One Defects,Quakers,Color,Category Two Defects,NA,Expiration,Certification Body,Certification Address,Certification Contact
robusta,Vietnam,EatanCoop,ETC_N01,dry mill,,SIMEXCO DAKLAK LTD,820-830,Đắk Lắk,EatanCoop,3,30 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"September 16th, 2024",Simexco DakLak,Robusta Sẻ,Completed,Natural / Dry,8.67,8.58,8.5,8.42,8.42,8.42,10,10,8.42,8.42,0,87.83,11.60%,0 full defects,0,greenish,0 full defects,,"September 16th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Thailand,Peenarit Ponkhataigool,TCE,Big Black Box's Dry Mill Plant Sai Noi District,,"107 Moo.11,Klang Wiang, Wiang Sa ,Nan, 55110",450,"Klang Wiang, Wiang Sa, Nan",Peenarit Ponkhataigool,3,25 kg,Coffee Quality Institute,2023 / 2024,"September 19th, 2024",Peenarit Ponkhataigool,Mixed: unknown variety,Completed,Natural / Dry,8.58,8.58,8.33,8.58,8.5,8.42,10,10,8.33,8.42,0,87.75,9.50%,7 full defects,0,Brownish,5 full defects,,"September 19th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Thailand,Pumma Farm,Mar Special lot,Pumma Farm,,"PUMMA FARM CO., LTD.",100,Chumphon,Supaporn Pumnin,31,4 kg,Coffee Quality Institute,2023 / 2024,"July 12th, 2024",Supaporn Pumnin,Other,Completed,Natural / Dry,8.42,8.33,8.33,8.5,8.5,8.33,10,10,8.17,8.42,0,87,8.80%,0 full defects,0,Yellow-Green,2 full defects,,"July 12th, 2025",Coffee Quality Institute,For project use only,Coffee Quality Institute - For project use only
robusta,Vietnam,Công Ty TNHH TM DV Song Linh,1,Công Ty TNHH TM DV Song Linh,,"Songlinh Co., Ltd",800,"Hoài Đức, Lâm Hà, Lâm Đồng",Soul Fine Robusta,17,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",SOUL FINE ROBUSTA Vietnam,TR hỗn hợp,Completed,Natural / Dry,8.25,8.5,8.25,8.58,8.42,8.33,10,10,8.25,8.25,0,86.83,10.40%,0 full defects,0,Yellow-Green,1 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,PHAN EM COFFEE,HH AMAZING R044,DRY MILL,,HIEPHOICAPHEBUONMATHUOT,650 – 700,DAKLAK,PHAN EM COFFEE,7,60 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"July 18th, 2024",HIEP HOI CA PHE BUON MA THUOT,HON HOP,Completed,Natural / Dry,8.42,8.42,8.25,8.25,8.42,8.25,10,10,8.5,8.33,0,86.83,11%,0 full defects,0,Bluish-Green,0 full defects,,"July 18th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Vietnam,MORI FARM COFFEE,1,MORI FARM COFFEE,,Mori coffee,700,"Bàu Cạn, Chư Prong, Gia Lai",Trần Thị Bích Ngọc,28,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Tran Thi Bich Ngoc,TR4,Completed,Natural (Citrus),8.58,8.42,8.42,8.25,8.25,8.33,10,10,8.25,8.25,0,86.75,10%,0 full defects,0,Yellow-Green,3 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,48 - Daklao Café,1,48 - Daklao Café,,48 – Café Daklao,750,"Thôn Đắc Lộc, Đắk Mil, Đắk Nông",Nguyễn Thị Thu Hương,142,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",Huong Nguyen,TR4,Completed,Natural / Dry,8.08,8.33,8.25,8.42,8.42,8.33,10,10,8.25,8.25,0,86.33,9.80%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,True Cafe,2025,Vina Special True Cafe,,Vina Special True Cafe,850,Gia Lai,Vina Special True Cafe,1,60 kg,HQJ Coffee School,2024 / 2025,"April 7th, 2025",Vina Special True Cafe,Robusta,Completed,Natural / Dry,8.17,8.25,8.25,8.25,8.17,8.08,10,10,8.25,8.83,0,86.25,11.70%,0 full defects,0,Green,1 full defects,,"April 7th, 2026",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
robusta,Vietnam,K'HO FINE ROBUSTA,R2,K'HO FINE ROBUSTA,,Babros Coffee Works,1200,"Don Duong, Lam Dong",K'HO FINE ROBUSTA,50,30 kg,STONE VILLAGE LAB VIETNAM,2023 / 2024,"July 25th, 2024",BABROS COFFEE WORKS,TR4,Completed,Anaerobic natural LF,8.42,8.42,8.17,8.25,8.25,8.25,10,10,8.25,8.25,0,86.25,11%,0 full defects,0,Bluish-Green,0 full defects,,"July 25th, 2025",STONE VILLAGE LAB VIETNAM,THỊ TRẤN MĂNG ĐEN,STONE VILLAGE LAB VIETNAM - 0966005189
robusta,Vietnam,Công Ty TNHH TM DV Song Linh,1,Công Ty TNHH TM DV Song Linh,,"Songlinh Co., Ltd",800,"Ea Tân, Krong Năng, Đắk Lắk",Soul Fine Robusta,50,60 kg,HQJ Coffee School,2023 / 2024,"July 12th, 2024",SOUL FINE ROBUSTA Vietnam,Sẻ,Completed,Natural / Dry,8.42,8.42,8.08,8.42,8.17,8.25,10,10,8.25,8.17,0,86.17,11.60%,0 full defects,0,Yellow-Green,0 full defects,,"July 12th, 2025",HQJ Coffee School,"738 Su Van Hanh Ward 12, District 10 Hochiminh City Vietnam",Sam Choi - +84 906662008
